1,2,17
1,3,17
1,4,15
1,5,15
1,6,13
1,7,18
1,8,5
1,9,17
1,10,18
1,11,4
1,12,16
1,13,17
1,14,15
1,15,0
1,16,8
1,17,7
1,18,0
1,19,8
1,20,6
1,21,8
1,22,6
1,23,15
1,24,7
1,25,9
1,26,12
1,27,0
1,28,11
1,29,6
1,30,9
1,31,18
1,32,12
1,33,2
1,34,2
1,35,16
1,36,6
1,37,6
1,38,1
1,39,12
1,40,12
1,41,8
1,42,4
1,43,1
1,44,4
1,45,8
1,46,0
1,47,2
1,48,15
1,49,5
1,50,13
1,51,11
1,52,12
1,53,14
1,54,0
1,55,16
1,56,8
1,57,12
1,58,7
1,59,4
1,60,5
1,61,11
1,62,10
1,63,2
1,64,4
1,65,5
1,66,2
1,67,4
1,68,0
1,69,0
1,70,11
1,71,1
1,72,2
1,73,1
1,74,4
1,75,1
1,76,8
1,77,5
1,78,0
1,79,0
1,80,1
2,1,17
2,3,16
2,4,13
2,5,15
2,6,13
2,7,17
2,8,5
2,9,16
2,10,16
2,11,4
2,12,15
2,13,16
2,14,15
2,15,0
2,16,8
2,17,7
2,18,0
2,19,8
2,20,6
2,21,8
2,22,6
2,23,13
2,24,7
2,25,9
2,26,12
2,27,0
2,28,11
2,29,6
2,30,9
2,31,16
2,32,11
2,33,2
2,34,2
2,35,14
2,36,6
2,37,6
2,38,1
2,39,11
2,40,12
2,41,7
2,42,4
2,43,1
2,44,4
2,45,8
2,46,0
2,47,2
2,48,13
2,49,5
2,50,12
2,51,10
2,52,10
2,53,12
2,54,0
2,55,14
2,56,7
2,57,10
2,58,6
2,59,4
2,60,5
2,61,9
2,62,9
2,63,2
2,64,4
2,65,4
2,66,2
2,67,4
2,68,0
2,69,0
2,70,9
2,71,1
2,72,2
2,73,1
2,74,2
2,75,1
2,76,7
2,77,4
2,78,0
2,79,0
2,80,1
3,1,17
3,2,16
3,4,14
3,5,15
3,6,12
3,7,17
3,8,5
3,9,17
3,10,16
3,11,4
3,12,16
3,13,17
3,14,14
3,15,0
3,16,8
3,17,7
3,18,0
3,19,8
3,20,6
3,21,8
3,22,6
3,23,13
3,24,7
3,25,9
3,26,11
3,27,0
3,28,11
3,29,6
3,30,9
3,31,16
3,32,11
3,33,2
